year,parent_entity,parent_type,total_emissions_MtCO2e
2018,Abu Dhabi National Oil Company,State-owned Entity,692.403479
2019,Abu Dhabi National Oil Company,State-owned Entity,728.9822131
2020,Abu Dhabi National Oil Company,State-owned Entity,705.4723872
2021,Abu Dhabi National Oil Company,State-owned Entity,705.4723872
2022,Abu Dhabi National Oil Company,State-owned Entity,705.4723872
2012,Adani Enterprises,Investor-owned Company,8.076361774
2013,Adani Enterprises,Investor-owned Company,8.258079914
2014,Adani Enterprises,Investor-owned Company,15.99119631
2015,Adani Enterprises,Investor-owned Company,20.917777
2016,Adani Enterprises,Investor-owned Company,23.11858558
2017,Adani Enterprises,Investor-owned Company,22.51285845
2018,Adani Enterprises,Investor-owned Company,34.1226285
2019,Adani Enterprises,Investor-owned Company,26.77515837
2020,Adani Enterprises,Investor-owned Company,31.74010177
2021,Adani Enterprises,Investor-owned Company,54.07124208
2022,Adani Enterprises,Investor-owned Company,70.46625648
1992,Adaro Energy,Investor-owned Company,2.019090444
1993,Adaro Energy,Investor-owned Company,2.826726621
1994,Adaro Energy,Investor-owned Company,4.845817065
1995,Adaro Energy,Investor-owned Company,11.10499744
1996,Adaro Energy,Investor-owned Company,17.36417782
1997,Adaro Energy,Investor-owned Company,18.97945017
1998,Adaro Energy,Investor-owned Company,22.00808584
1999,Adaro Energy,Investor-owned Company,27.45963003
2000,Adaro Energy,Investor-owned Company,31.29590188
2001,Adaro Energy,Investor-owned Company,35.73790085
2002,Adaro Energy,Investor-owned Company,41.99708123
2003,Adaro Energy,Investor-owned Company,45.42953498
2004,Adaro Energy,Investor-owned Company,49.06389778
2005,Adaro Energy,Investor-owned Company,53.90971484
2006,Adaro Energy,Investor-owned Company,69.45671126
2007,Adaro Energy,Investor-owned Company,72.88916501
2008,Adaro Energy,Investor-owned Company,77.73498208
2009,Adaro Energy,Investor-owned Company,81.97507201
2010,Adaro Energy,Investor-owned Company,85.20561672
2011,Adaro Energy,Investor-owned Company,96.31061416
2012,Adaro Energy,Investor-owned Company,95.30106894
2013,Adaro Energy,Investor-owned Company,105.5984302
2014,Adaro Energy,Investor-owned Company,113.4728829
2015,Adaro Energy,Investor-owned Company,103.9831578
2016,Adaro Energy,Investor-owned Company,106.4126132
2017,Adaro Energy,Investor-owned Company,105.4416589
2018,Adaro Energy,Investor-owned Company,114.4981126
2019,Adaro Energy,Investor-owned Company,122.1164658
2020,Adaro Energy,Investor-owned Company,114.7511783
2021,Adaro Energy,Investor-owned Company,109.1025377
2022,Adaro Energy,Investor-owned Company,130.1535718
1996,Alliance Resource Partners,Investor-owned Company,22.16025695
1997,Alliance Resource Partners,Investor-owned Company,26.83853342
1998,Alliance Resource Partners,Investor-owned Company,32.99416036
1999,Alliance Resource Partners,Investor-owned Company,34.7177359
2000,Alliance Resource Partners,Investor-owned Company,33.73283559
2001,Alliance Resource Partners,Investor-owned Company,38.65733713
2002,Alliance Resource Partners,Investor-owned Company,44.32051391
2003,Alliance Resource Partners,Investor-owned Company,47.27521484
2004,Alliance Resource Partners,Investor-owned Company,50.173284
2005,Alliance Resource Partners,Investor-owned Company,56.3855427
2006,Alliance Resource Partners,Investor-owned Company,58.35534331
2007,Alliance Resource Partners,Investor-owned Company,59.83269378
2008,Alliance Resource Partners,Investor-owned Company,65.07482567
2009,Alliance Resource Partners,Investor-owned Company,63.61963547
2010,Alliance Resource Partners,Investor-owned Company,71.0605573
2011,Alliance Resource Partners,Investor-owned Company,75.72159801
2012,Alliance Resource Partners,Investor-owned Company,85.68632689
2013,Alliance Resource Partners,Investor-owned Company,95.49100947
2014,Alliance Resource Partners,Investor-owned Company,100.3342567
2015,Alliance Resource Partners,Investor-owned Company,101.3905623
2016,Alliance Resource Partners,Investor-owned Company,86.77956624
2017,Alliance Resource Partners,Investor-owned Company,92.60278931
2018,Alliance Resource Partners,Investor-owned Company,99.14498962
2019,Alliance Resource Partners,Investor-owned Company,99.15096811
2020,Alliance Resource Partners,Investor-owned Company,67.23353452
2021,Alliance Resource Partners,Investor-owned Company,80.02745358
2022,Alliance Resource Partners,Investor-owned Company,88.30926533
1981,Alpha Metallurgical Resources,Investor-owned Company,35.36244154
1982,Alpha Metallurgical Resources,Investor-owned Company,46.78451016
1983,Alpha Metallurgical Resources,Investor-owned Company,45.98684612
1984,Alpha Metallurgical Resources,Investor-owned Company,59.42344627
1985,Alpha Metallurgical Resources,Investor-owned Company,61.60944963
1986,Alpha Metallurgical Resources,Investor-owned Company,58.63587925
1987,Alpha Metallurgical Resources,Investor-owned Company,44.78025305
1988,Alpha Metallurgical Resources,Investor-owned Company,42.91230562
1989,Alpha Metallurgical Resources,Investor-owned Company,42.65988032
1990,Alpha Metallurgical Resources,Investor-owned Company,47.20353619
1991,Alpha Metallurgical Resources,Investor-owned Company,42.65988032
1992,Alpha Metallurgical Resources,Investor-owned Company,45.43655891
1993,Alpha Metallurgical Resources,Investor-owned Company,55.53357199
1994,Alpha Metallurgical Resources,Investor-owned Company,63.98982046
1995,Alpha Metallurgical Resources,Investor-owned Company,72.44606893
1996,Alpha Metallurgical Resources,Investor-owned Company,80.52367938
1997,Alpha Metallurgical Resources,Investor-owned Company,87.20790205
1998,Alpha Metallurgical Resources,Investor-owned Company,97.48795212
1999,Alpha Metallurgical Resources,Investor-owned Company,247.5325301
2000,Alpha Metallurgical Resources,Investor-owned Company,263.2848011
2001,Alpha Metallurgical Resources,Investor-owned Company,278.1754882
2002,Alpha Metallurgical Resources,Investor-owned Company,289.0365341
2003,Alpha Metallurgical Resources,Investor-owned Company,328.2866224
2004,Alpha Metallurgical Resources,Investor-owned Company,304.9056381
2005,Alpha Metallurgical Resources,Investor-owned Company,324.4140983
2006,Alpha Metallurgical Resources,Investor-owned Company,340.0122026
2007,Alpha Metallurgical Resources,Investor-owned Company,341.1383872
2008,Alpha Metallurgical Resources,Investor-owned Company,336.3869259
2009,Alpha Metallurgical Resources,Investor-owned Company,305.3986445
2010,Alpha Metallurgical Resources,Investor-owned Company,299.4704273
2011,Alpha Metallurgical Resources,Investor-owned Company,304.9511898
2012,Alpha Metallurgical Resources,Investor-owned Company,272.5425297
2013,Alpha Metallurgical Resources,Investor-owned Company,218.6109921
2014,Alpha Metallurgical Resources,Investor-owned Company,201.1737482
2015,Alpha Metallurgical Resources,Investor-owned Company,176.6899495
2016,Alpha Metallurgical Resources,Investor-owned Company,31.11236987
2017,Alpha Metallurgical Resources,Investor-owned Company,27.105659
2018,Alpha Metallurgical Resources,Investor-owned Company,29.51102388
2019,Alpha Metallurgical Resources,Investor-owned Company,53.79344405
2020,Alpha Metallurgical Resources,Investor-owned Company,38.11758887
2021,Alpha Metallurgical Resources,Investor-owned Company,42.50995794
2022,Alpha Metallurgical Resources,Investor-owned Company,42.41862561
1988,American Consolidated Natural Resources,Investor-owned Company,2.462250773
1989,American Consolidated Natural Resources,Investor-owned Company,5.560582994
1990,American Consolidated Natural Resources,Investor-owned Company,8.658915218
1991,American Consolidated Natural Resources,Investor-owned Company,11.75724744
1992,American Consolidated Natural Resources,Investor-owned Company,14.85557966
1993,American Consolidated Natural Resources,Investor-owned Company,17.95391189
1994,American Consolidated Natural Resources,Investor-owned Company,21.05224411
1995,American Consolidated Natural Resources,Investor-owned Company,24.15057633
1996,American Consolidated Natural Resources,Investor-owned Company,27.24890856
1997,American Consolidated Natural Resources,Investor-owned Company,30.34724077
1998,American Consolidated Natural Resources,Investor-owned Company,33.44557299
1999,American Consolidated Natural Resources,Investor-owned Company,36.54390523
2000,American Consolidated Natural Resources,Investor-owned Company,39.64223744
2001,American Consolidated Natural Resources,Investor-owned Company,38.65733713
2002,American Consolidated Natural Resources,Investor-owned Company,48.7525653
2003,American Consolidated Natural Resources,Investor-owned Company,47.76766499
2004,American Consolidated Natural Resources,Investor-owned Company,53.18461669
2005,American Consolidated Natural Resources,Investor-owned Company,48.94462086
2006,American Consolidated Natural Resources,Investor-owned Company,50.29393428
2007,American Consolidated Natural Resources,Investor-owned Company,68.3299212
2008,American Consolidated Natural Resources,Investor-owned Company,64.16379289
2009,American Consolidated Natural Resources,Investor-owned Company,61.8024944
2010,American Consolidated Natural Resources,Investor-owned Company,60.81759409
2011,American Consolidated Natural Resources,Investor-owned Company,65.24964548
2012,American Consolidated Natural Resources,Investor-owned Company,71.93711858
2013,American Consolidated Natural Resources,Investor-owned Company,160.0463002
2014,American Consolidated Natural Resources,Investor-owned Company,154.6662823
2015,American Consolidated Natural Resources,Investor-owned Company,136.7140119
2016,American Consolidated Natural Resources,Investor-owned Company,113.3447898
2017,American Consolidated Natural Resources,Investor-owned Company,112.9409807
2018,American Consolidated Natural Resources,Investor-owned Company,114.2533604
2019,American Consolidated Natural Resources,Investor-owned Company,117.4518241
2020,American Consolidated Natural Resources,Investor-owned Company,120.6502879
2021,American Consolidated Natural Resources,Investor-owned Company,120.6502879
2022,American Consolidated Natural Resources,Investor-owned Company,135.4237925
1909,Anglo American,Investor-owned Company,0.726146814
1910,Anglo American,Investor-owned Company,0.854242841
1911,Anglo American,Investor-owned Company,0.921744297
1912,Anglo American,Investor-owned Company,0.989245752
1913,Anglo American,Investor-owned Company,1.056747208
1914,Anglo American,Investor-owned Company,1.124248663
1915,Anglo American,Investor-owned Company,1.191750118
1916,Anglo American,Investor-owned Company,1.259251574
1917,Anglo American,Investor-owned Company,1.326753029
1918,Anglo American,Investor-owned Company,1.394254484
1919,Anglo American,Investor-owned Company,1.46175594
1920,Anglo American,Investor-owned Company,1.529257395
1921,Anglo American,Investor-owned Company,2.218708874
1922,Anglo American,Investor-owned Company,2.908160354
1923,Anglo American,Investor-owned Company,3.597611833
1924,Anglo American,Investor-owned Company,4.287063313
1925,Anglo American,Investor-owned Company,4.976514792
1926,Anglo American,Investor-owned Company,5.665966272
1927,Anglo American,Investor-owned Company,6.355417751
1928,Anglo American,Investor-owned Company,7.04486923
1929,Anglo American,Investor-owned Company,7.060673317
1930,Anglo American,Investor-owned Company,7.105237522
1931,Anglo American,Investor-owned Company,7.741070737
1932,Anglo American,Investor-owned Company,8.376903952
1933,Anglo American,Investor-owned Company,9.012737166
1934,Anglo American,Investor-owned Company,9.648570381
1935,Anglo American,Investor-owned Company,10.2844036
1936,Anglo American,Investor-owned Company,10.92023681
1937,Anglo American,Investor-owned Company,11.55607003
1938,Anglo American,Investor-owned Company,12.19190324
1939,Anglo American,Investor-owned Company,12.82773646
1940,Anglo American,Investor-owned Company,13.46356967
1941,Anglo American,Investor-owned Company,14.92021357
1942,Anglo American,Investor-owned Company,16.37685747
1943,Anglo American,Investor-owned Company,17.83350136
1944,Anglo American,Investor-owned Company,19.29014526
1945,Anglo American,Investor-owned Company,20.74678916
1946,Anglo American,Investor-owned Company,22.20343306
1947,Anglo American,Investor-owned Company,23.66007696
1948,Anglo American,Investor-owned Company,25.11672086
1949,Anglo American,Investor-owned Company,26.57336475
1950,Anglo American,Investor-owned Company,26.03027759
1951,Anglo American,Investor-owned Company,25.56175634
1952,Anglo American,Investor-owned Company,27.22633533
1953,Anglo American,Investor-owned Company,28.89091433
1954,Anglo American,Investor-owned Company,28.32572751
1955,Anglo American,Investor-owned Company,29.21093285
1956,Anglo American,Investor-owned Company,30.0961382
1957,Anglo American,Investor-owned Company,30.27699902
1958,Anglo American,Investor-owned Company,32.78997429
1959,Anglo American,Investor-owned Company,32.45946986
1960,Anglo American,Investor-owned Company,34.09621163
1961,Anglo American,Investor-owned Company,34.55386195
1962,Anglo American,Investor-owned Company,34.7202503
1963,Anglo American,Investor-owned Company,34.52921989
1964,Anglo American,Investor-owned Company,35.91203241
1965,Anglo American,Investor-owned Company,44.43862593
1966,Anglo American,Investor-owned Company,42.44593682
1967,Anglo American,Investor-owned Company,40.4532477
1968,Anglo American,Investor-owned Company,34.52695116
1969,Anglo American,Investor-owned Company,28.60065463
1970,Anglo American,Investor-owned Company,31.08074461
1971,Anglo American,Investor-owned Company,34.02037393
1972,Anglo American,Investor-owned Company,36.96000325
1973,Anglo American,Investor-owned Company,39.89963258
1974,Anglo American,Investor-owned Company,44.52922498
1975,Anglo American,Investor-owned Company,48.73203581
1976,Anglo American,Investor-owned Company,55.53150159
1977,Anglo American,Investor-owned Company,65.00049344
1978,Anglo American,Investor-owned Company,80.05117179
1979,Anglo American,Investor-owned Company,81.67731577
1980,Anglo American,Investor-owned Company,87.57744349
1981,Anglo American,Investor-owned Company,87.15456625
1982,Anglo American,Investor-owned Company,82.29240661
1983,Anglo American,Investor-owned Company,82.34826004
1984,Anglo American,Investor-owned Company,89.16954658
1985,Anglo American,Investor-owned Company,88.93260376
1986,Anglo American,Investor-owned Company,99.65668229
1987,Anglo American,Investor-owned Company,102.7908597
1988,Anglo American,Investor-owned Company,110.9203372
1989,Anglo American,Investor-owned Company,105.221186
1990,Anglo American,Investor-owned Company,105.7821374
1991,Anglo American,Investor-owned Company,103.1102689
1992,Anglo American,Investor-owned Company,101.1719567
1993,Anglo American,Investor-owned Company,110.2460936
1994,Anglo American,Investor-owned Company,111.1135441
1995,Anglo American,Investor-owned Company,111.9399449
1996,Anglo American,Investor-owned Company,116.945217
1997,Anglo American,Investor-owned Company,126.8898772
1998,Anglo American,Investor-owned Company,155.059383
1999,Anglo American,Investor-owned Company,159.5893896
2000,Anglo American,Investor-owned Company,178.0248115
2001,Anglo American,Investor-owned Company,190.9418352
2002,Anglo American,Investor-owned Company,197.4767453
2003,Anglo American,Investor-owned Company,211.4887664
2004,Anglo American,Investor-owned Company,218.5586685
2005,Anglo American,Investor-owned Company,222.4856385
2006,Anglo American,Investor-owned Company,224.5564722
2007,Anglo American,Investor-owned Company,227.5230893
2008,Anglo American,Investor-owned Company,244.128414
2009,Anglo American,Investor-owned Company,239.3677639
2010,Anglo American,Investor-owned Company,244.2706617
2011,Anglo American,Investor-owned Company,233.6932943
2012,Anglo American,Investor-owned Company,245.8682114
2013,Anglo American,Investor-owned Company,245.1243212
2014,Anglo American,Investor-owned Company,249.9432962
2015,Anglo American,Investor-owned Company,237.484468
2016,Anglo American,Investor-owned Company,182.1323067
2017,Anglo American,Investor-owned Company,127.6296599
2018,Anglo American,Investor-owned Company,132.4378988
2019,Anglo American,Investor-owned Company,157.4999171
2020,Anglo American,Investor-owned Company,137.0341247
2021,Anglo American,Investor-owned Company,98.46250026
2022,Anglo American,Investor-owned Company,48.29034126
2012,Antero,Investor-owned Company,6.377353972
2013,Antero,Investor-owned Company,13.83832837
2014,Antero,Investor-owned Company,26.46117219
2015,Antero,Investor-owned Company,39.03252591
2016,Antero,Investor-owned Company,48.19395853
2017,Antero,Investor-owned Company,58.4299734
2018,Antero,Investor-owned Company,70.25507279
2019,Antero,Investor-owned Company,83.41907256
2020,Antero,Investor-owned Company,92.67533553
2021,Antero,Investor-owned Company,84.64417318
2022,Antero,Investor-owned Company,82.87281611
1985,APA Corporation,Investor-owned Company,3.610382824
1986,APA Corporation,Investor-owned Company,3.610382824
1987,APA Corporation,Investor-owned Company,3.781234079
1988,APA Corporation,Investor-owned Company,4.760509609
1989,APA Corporation,Investor-owned Company,7.417881916
1990,APA Corporation,Investor-owned Company,8.236864255
1991,APA Corporation,Investor-owned Company,10.9716765
1992,APA Corporation,Investor-owned Company,12.01663339
1993,APA Corporation,Investor-owned Company,15.08753479
1994,APA Corporation,Investor-owned Company,18.6720466
1995,APA Corporation,Investor-owned Company,22.96338626
1996,APA Corporation,Investor-owned Company,23.0117351
1997,APA Corporation,Investor-owned Company,26.21753329
1998,APA Corporation,Investor-owned Company,12.22619955
1999,APA Corporation,Investor-owned Company,31.2788904
2000,APA Corporation,Investor-owned Company,39.88227962
2001,APA Corporation,Investor-owned Company,52.72612999
2002,APA Corporation,Investor-owned Company,52.23959022
2003,APA Corporation,Investor-owned Company,63.67237131
2004,APA Corporation,Investor-owned Company,68.08121735
2005,APA Corporation,Investor-owned Company,69.14386999
2006,APA Corporation,Investor-owned Company,76.62606109
2007,APA Corporation,Investor-owned Company,85.91769678
2008,APA Corporation,Investor-owned Company,81.61866991
2009,APA Corporation,Investor-owned Company,89.00882216
2010,APA Corporation,Investor-owned Company,100.1818296
2011,APA Corporation,Investor-owned Company,114.1810019
2012,APA Corporation,Investor-owned Company,117.0335423
2013,APA Corporation,Investor-owned Company,113.9723644
2014,APA Corporation,Investor-owned Company,97.73791307
2015,APA Corporation,Investor-owned Company,66.52205101
2016,APA Corporation,Investor-owned Company,78.52439712
2017,APA Corporation,Investor-owned Company,68.81150333
2018,APA Corporation,Investor-owned Company,70.07781886
2019,APA Corporation,Investor-owned Company,71.26745561
2020,APA Corporation,Investor-owned Company,66.10173559
2021,APA Corporation,Investor-owned Company,58.43021034
2022,APA Corporation,Investor-owned Company,58.29490135
1973,Arch Resources,Investor-owned Company,26.9521781
1974,Arch Resources,Investor-owned Company,29.8323521
1975,Arch Resources,Investor-owned Company,28.94938488
1976,Arch Resources,Investor-owned Company,29.23362384
1977,Arch Resources,Investor-owned Company,27.08409267
1978,Arch Resources,Investor-owned Company,27.76229125
1979,Arch Resources,Investor-owned Company,27.08409267
1980,Arch Resources,Investor-owned Company,54.31674447
1981,Arch Resources,Investor-owned Company,56.31487118
1982,Arch Resources,Investor-owned Company,62.7198142
1983,Arch Resources,Investor-owned Company,62.08550787
1984,Arch Resources,Investor-owned Company,76.06639036
1985,Arch Resources,Investor-owned Company,82.51895777
1986,Arch Resources,Investor-owned Company,77.88969882
1987,Arch Resources,Investor-owned Company,88.13723631
1988,Arch Resources,Investor-owned Company,99.19971822
1989,Arch Resources,Investor-owned Company,112.8814785
1990,Arch Resources,Investor-owned Company,120.3728059
1991,Arch Resources,Investor-owned Company,116.105184
1992,Arch Resources,Investor-owned Company,116.0928548
1993,Arch Resources,Investor-owned Company,119.6978103
1994,Arch Resources,Investor-owned Company,119.6693917
1995,Arch Resources,Investor-owned Company,135.9220847
1996,Arch Resources,Investor-owned Company,136.7539137
1997,Arch Resources,Investor-owned Company,135.7511294
1998,Arch Resources,Investor-owned Company,210.2903144
1999,Arch Resources,Investor-owned Company,262.9014383
2000,Arch Resources,Investor-owned Company,282.8511023
2001,Arch Resources,Investor-owned Company,319.3853341
2002,Arch Resources,Investor-owned Company,306.4778769
2003,Arch Resources,Investor-owned Company,299.0256183
2004,Arch Resources,Investor-owned Company,239.8045426
2005,Arch Resources,Investor-owned Company,273.1161403
2006,Arch Resources,Investor-owned Company,262.9862977
2007,Arch Resources,Investor-owned Company,262.9862977
2008,Arch Resources,Investor-owned Company,271.9473122
2009,Arch Resources,Investor-owned Company,245.6798512
2010,Arch Resources,Investor-owned Company,317.0699169
2011,Arch Resources,Investor-owned Company,286.9810053
2012,Arch Resources,Investor-owned Company,260.5510808
2013,Arch Resources,Investor-owned Company,260.90176
2014,Arch Resources,Investor-owned Company,261.3298676
2015,Arch Resources,Investor-owned Company,246.3321641
2016,Arch Resources,Investor-owned Company,176.7285705
2017,Arch Resources,Investor-owned Company,189.47644
2018,Arch Resources,Investor-owned Company,186.0841944
2019,Arch Resources,Investor-owned Company,165.6431378
2020,Arch Resources,Investor-owned Company,119.4729174
2021,Arch Resources,Investor-owned Company,140.5654888
2022,Arch Resources,Investor-owned Company,151.3109252
1998,Banpu,Investor-owned Company,11.04627428
1999,Banpu,Investor-owned Company,14.31134634
2000,Banpu,Investor-owned Company,14.91791996
2001,Banpu,Investor-owned Company,19.9790186
2002,Banpu,Investor-owned Company,38.38473688
2003,Banpu,Investor-owned Company,60.15267377
2004,Banpu,Investor-owned Company,65.02895701
2005,Banpu,Investor-owned Company,75.60371508
2006,Banpu,Investor-owned Company,88.38204137
2007,Banpu,Investor-owned Company,87.11439728
2008,Banpu,Investor-owned Company,83.7379621
2009,Banpu,Investor-owned Company,85.52688039
2010,Banpu,Investor-owned Company,94.93351035
2011,Banpu,Investor-owned Company,93.75827396
2012,Banpu,Investor-owned Company,98.52082465
2013,Banpu,Investor-owned Company,101.4115271
2014,Banpu,Investor-owned Company,105.3210836
2015,Banpu,Investor-owned Company,97.50197052
2016,Banpu,Investor-owned Company,94.84821094
2017,Banpu,Investor-owned Company,92.11315355
2018,Banpu,Investor-owned Company,107.469959
2019,Banpu,Investor-owned Company,101.4640714
2020,Banpu,Investor-owned Company,96.48217461
2021,Banpu,Investor-owned Company,107.5918111
2022,Banpu,Investor-owned Company,107.1320352
1968,Bapco Energies,State-owned Entity,1.116583126
1969,Bapco Energies,State-owned Entity,1.187059991
1970,Bapco Energies,State-owned Entity,1.205193036
1971,Bapco Energies,State-owned Entity,1.220986414
1972,Bapco Energies,State-owned Entity,1.148405362
1973,Bapco Energies,State-owned Entity,1.407248481
1974,Bapco Energies,State-owned Entity,1.478387352
1975,Bapco Energies,State-owned Entity,8.185544427
1976,Bapco Energies,State-owned Entity,8.458028694
1977,Bapco Energies,State-owned Entity,10.34133631
1978,Bapco Energies,State-owned Entity,9.982236056
1979,Bapco Energies,State-owned Entity,9.623135803
1980,Bapco Energies,State-owned Entity,15.44005925
1981,Bapco Energies,State-owned Entity,16.60675919
1982,Bapco Energies,State-owned Entity,17.04455523
1983,Bapco Energies,State-owned Entity,17.6279052
1984,Bapco Energies,State-owned Entity,16.97211854
1985,Bapco Energies,State-owned Entity,18.94061277
1986,Bapco Energies,State-owned Entity,20.68907475
1987,Bapco Energies,State-owned Entity,19.21897901
1988,Bapco Energies,State-owned Entity,20.57926287
1989,Bapco Energies,State-owned Entity,21.1962713
1990,Bapco Energies,State-owned Entity,21.3046124
1991,Bapco Energies,State-owned Entity,20.45452167
1992,Bapco Energies,State-owned Entity,32.96781592
1993,Bapco Energies,State-owned Entity,34.09529174
1994,Bapco Energies,State-owned Entity,34.37884491
1995,Bapco Energies,State-owned Entity,25.20526078
1996,Bapco Energies,State-owned Entity,25.56888256
1997,Bapco Energies,State-owned Entity,36.62721063
1998,Bapco Energies,State-owned Entity,37.49261098
1999,Bapco Energies,State-owned Entity,38.23707676
2000,Bapco Energies,State-owned Entity,43.42130116
2001,Bapco Energies,State-owned Entity,53.7097709
2002,Bapco Energies,State-owned Entity,54.4785526
2003,Bapco Energies,State-owned Entity,55.64479884
2004,Bapco Energies,State-owned Entity,60.31387314
2005,Bapco Energies,State-owned Entity,61.43847261
2006,Bapco Energies,State-owned Entity,54.51882739
2007,Bapco Energies,State-owned Entity,56.22125516
2008,Bapco Energies,State-owned Entity,58.36438112
2009,Bapco Energies,State-owned Entity,58.63497575
2010,Bapco Energies,State-owned Entity,59.3795537
2011,Bapco Energies,State-owned Entity,67.93819678
2012,Bapco Energies,State-owned Entity,64.7730602
2013,Bapco Energies,State-owned Entity,78.28957908
2014,Bapco Energies,State-owned Entity,90.07170482
2015,Bapco Energies,State-owned Entity,87.65344195
2016,Bapco Energies,State-owned Entity,85.77090077
2017,Bapco Energies,State-owned Entity,83.20097523
2018,Bapco Energies,State-owned Entity,84.13079906
2019,Bapco Energies,State-owned Entity,86.80192374
2020,Bapco Energies,State-owned Entity,84.0389031
2021,Bapco Energies,State-owned Entity,81.00307169
2022,Bapco Energies,State-owned Entity,71.38095391
1953,BASF,Investor-owned Company,4.865733612
1954,BASF,Investor-owned Company,4.800885096
1955,BASF,Investor-owned Company,4.657273613
1956,BASF,Investor-owned Company,5.277585587
1957,BASF,Investor-owned Company,5.464460536
1958,BASF,Investor-owned Company,6.039510428
1959,BASF,Investor-owned Company,6.762904291
1960,BASF,Investor-owned Company,7.703070644
1961,BASF,Investor-owned Company,8.172961254
1962,BASF,Investor-owned Company,8.098040881
1963,BASF,Investor-owned Company,8.741247947
1964,BASF,Investor-owned Company,8.753061662
1965,BASF,Investor-owned Company,8.315408579
1966,BASF,Investor-owned Company,7.848578624
1967,BASF,Investor-owned Company,7.294218052
1968,BASF,Investor-owned Company,7.294218052
1969,BASF,Investor-owned Company,13.08266905
1970,BASF,Investor-owned Company,13.16720713
1971,BASF,Investor-owned Company,16.05645956
1972,BASF,Investor-owned Company,17.11879802
1973,BASF,Investor-owned Company,17.3423896
1974,BASF,Investor-owned Company,16.82756478
1975,BASF,Investor-owned Company,16.89584901
1976,BASF,Investor-owned Company,17.96779719
1977,BASF,Investor-owned Company,18.26871645
